,LEMMA,COMPOUND,CATEGORIZATION,MEANING,ETYMOLOGY,OCCURRENCE,CASE/GENDER/NUMBER,HEADEDNESS,CLASSIFICATION,NOTES,Unnamed: 10,Unnamed: 11,Unnamed: 12,HEADEDNESS COMMENTS,SKR CLASSIFICATION,SKR MAIN CLASSIFICATION,MAIN CLASSIFICATION,POS,STRUCTURE,Prefix,First Element,Linking Vowel,Second Element,Suffix
585,ἐπιδίφριος,"ἐπιδίφριος, -ον",A [Pr+Adv+V+Suf],‘on the car’,"ἐπί ‘on’ + δίς ‘twice, doubly’ + verbal root φρ- (φέρω) ‘bearorcarrya load’ + adj. suf. -ιος","Od. XV, 51, 75",acc. pl. n.,exocentric,determinative,,,,,,karmadhāraya,karmadhāraya,determinative,A,[Pr+Adv+V+Suf],ἐπί ‘on’,verbal root φρ- (φέρω) ‘bearorcarrya load’ ,,"+δίς ‘twice, doubly’",adj. suf. -ιος
586,ἐπιείκελος,"ἐπιείκελος, -ον",A [P+A],‘like’,"ἐπί ‘upon’ + εἴκελος, (-η), -ον, (&lt; εἰκός/ἐοικός, perf. part. act. n. of ἔοικα ‘to be like’) ‘like‘","Il. I, 265; IV, 394; IX, 485, 494; XI, 60; XXII, 279; XXIII, 80; XXIV, 486; Od. XV, 414; XXI, 14, 37; XXIV, 36","nom. m. sg., acc. m. sg., voc. m. sg.",endocentric,determinative,,,,,(right-headed),karmadhāraya,karmadhāraya,determinative,A,[P+A],ἐπί ‘upon’,,,,"εἴκελος, (-η), -ον, (&lt; εἰκός/ἐοικός, perf. part. act. n. of ἔοικα ‘to be like’) ‘like‘"
587,ἐπιεικής,"ἐπιεικής, -ές",A [P+V+Suf],"‘fitting, meet, suitable’","ἐπί ‘upon’ + verbal root εικ- (ἔοικα) ‘be like, seem, be fitting’ + adj. suf. -ής, -ές","Il. I, 547; VIII, 431; XIX, 21, 147; XXIII, 50, 246, 537; Od. II, 207; VIII, 389; XII, 382","nom. n. sg., acc. m. sg., acc. n. sg., acc. f. (target gender) sg.",exocentric,determinative,,,,,,karmadhāraya,karmadhāraya,determinative,A,[P+V+Suf],ἐπί ‘upon’,"verbal root εικ- (ἔοικα) ‘be like, seem, be fitting’ ",,,"adj. suf. -ής, -ές"
588,ἐπιεικτός,"ἐπιεικτός, –ή, –όν",A [P+A],‘yelding’,"ἐπι- (ἐπί) ‘before, in presence of’, intensifier in compounding + εἰκτός, -ή, -όν, (εἴκω) ‘yielding’","Il. V, 892; VIII, 32; XVI, 549; Od. VIII, 307; XIX, 493",nom. n. sg.,endocentric,determinative,in Hom. always with negation,,,,(right-headed),karmadhāraya,karmadhāraya,determinative,A,[P+A],"ἐπι- (ἐπί) ‘before, in presence of’, intensifier in compounding",,,,"εἰκτός, -ή, -όν, (εἴκω) ‘yielding’"
589,ἐπιήρανος,"ἐπιήρανος, –ον",A [P+N+Suf],"‘pleasing, acceptable‘","ἐπι- (ἐπί) ‘upon’, intensifier in compounding + ἦρα = χάριν, ‘service, gratification’ + adj. suf. -νος","Od. XIX, 343",nom. n. pl.,exocentric,determinative,,,,,,bahuvrῑhi,bahuvrῑhi,determinative,A,[P+N+Suf],"ἐπι- (ἐπί) ‘upon’, intensifier in compounding",,,"+ἦρα = χάριν, ‘service, gratification’",adj. suf. -νος
590,ἐπιίστωρ,"ἐπιίστωρ, -ορος",A [P+A],‘privy to’,"ἐπί ‘upon’ intensifier in compounding + ἴστωρ ‘one who knows law and right, judge’","Od. XXI, 26",acc. m. sg.,endocentric,determinative,,,,,(right- headed),karmadhāraya,karmadhāraya,determinative,A,[P+A],ἐπί ‘upon’ intensifier in compounding,,,,"ἴστωρ ‘one who knows law and right, judge’"
591,Ἐπικλέης,"Ἐπικλέης, -ους",[P+N+Suf],‘Epicles’,"ἐπί ‘on, upon’ + nounrootκλέ- (κλέος) ‘glory’ + nounsuf. -ης, -ους","Il. XII, 379",acc. m. sg.,exocentric,determinative,,,,,,karmadhāraya,karmadhāraya,determinative,[P+N+Suf],,"ἐπί ‘on, upon’",nounrootκλέ- (κλέος) ‘glory’ ,,,"nounsuf. -ης, -ους"
592,ἐπίκλησις,"ἐπίκλησις, -εως",N [P+V+Suf],"‘surname, additional name’","ἐπί ‘on, upon’ +verbal root κλη- (καλέω) ‘call, summon’ + noun suf. -σις, -εως","Il. VII, 138; XVI, 177; XVIII 487; XXII, 29, 506; Od. V, 273",acc. f. sg.,exocentric,determinative,,,,,,karmadhāraya,karmadhāraya,determinative,N,[P+V+Suf],"ἐπί ‘on, upon’","verbal root κλη- (καλέω) ‘call, summon’ ",,,"noun suf. -σις, -εως"
593,ἐπίκλοπος,"ἐπίκλοπος, -ον",A [P+V+Suf],"‘thievish, cunning’","ἐπί ‘upon’ + verbal root κλοπ- (κλέπτω) ‘steal’ + adj. suf. -ος, -ον","Il. XXII, 281; Od. XI, 364; XIII, 291, XXI, 397","nom. m. sg., acc. m. sg.",exocentric,determinative,,,,,,karmadhāraya,karmadhāraya,determinative,A,[P+V+Suf],ἐπί ‘upon’,verbal root κλοπ- (κλέπτω) ‘steal’ ,,,"adj. suf. -ος, -ον"
594,ἐπίκουρος,"ἐπίκουρος, -ου",N [P+N],"‘helper, ally’","ἐπί ‘upon, on’ +κοῦρος,ep. for κόρος ‘boy, lad’","Il. II, 130, 803, 815; III, 188, 451, 456; IV, 379; V, 473, 477, 478, 491; VI, 111, 227; VII, 348, 368, 477; VIII, 497; IX, 233; X, 420; XI, 220, 564; XII, 61, 101, 108; XIII, 755; XVI, 538; XVII, 14, 212, 220, 335, 362; XVIII, 229; XXI, 431","nom. f. (target gender) sg., nom. m. pl., gen. m. pl; acc. m. pl., nom. m. sg.",endocentric,determinative,"in Il. XXI, 431 apposition of Aphrodite",,,,(right-headed),karmadhāraya,karmadhāraya,determinative,N,[P+N],"ἐπί ‘upon, on’",,,,"κοῦρος,ep. for κόρος ‘boy, lad’"
595,ἐπιμάρτυρος,"ἐπιμάρτυρος, -ου",N [P+N],‘witness to’,ἐπί ‘upon’ +μάρτυρος (epic form for μάρτυς) ‘witness’,"Il. VII, 76",nom. m. sg.,endocentric,determinative,Alternative analysis as tatpuruṣa (V-governing) [P+N+Suf] ἐπι+μάρτυρ+ος,,,,(right-headed),karmadhāraya,karmadhāraya,determinative,N,[P+N],ἐπί ‘upon’,,,,μάρτυρος (epic form for μάρτυς) ‘witness’
596,ἐπινεφρίδιος,"ἐπινεφρίδιος, -ον",A [P+N+Suf],‘upon the kidneys’,"ἐπί ‘on, upon’ + noun root νεφρ- (νεφροί) ‘kidneys’ + adj. suf. -ιδιος, -ον","Il. XXI, 204",acc. m. sg.,exocentric,subordinate (P-complement),,,,,,tatpuruṣa (P-governing),tatpuruṣa,subordinate,A,[P+N+Suf],"ἐπί ‘on, upon’",noun root νεφρ- (νεφροί) ‘kidneys’ ,,,"adj. suf. -ιδιος, -ον"
597,ἐπίξυνος,"ἐπίξυνος, -ον",A [P+A],‘common‘,"ἐπί ‘on, upon’ intensifier in compounding + ξῡνός, (-ή), -όν ‘common, public’","Il. XII, 422",dat. f. (target gender) sg.,endocentric,determinative,,,,,(right-headed),karmadhāraya,karmadhāraya,determinative,A,[P+A],"ἐπί ‘on, upon’ intensifier in compounding",,,,"ξῡνός, (-ή), -όν ‘common, public’"
598,ἐπίορκος,"ἐπίορκος, -ον",A[P+N+Suf],‘sworn falsely’,"ἐπί ‘upon, over’ + noun root/stem ορκ(ο)- (ὅρκος) ‘the object by which one swears; oath’","Il. III, 279; X, 332; XIX, 260, 264",acc. n. sg.,exocentric,determinative,,,,,,karmadhāraya,karmadhāraya,determinative,A[P+N+Suf],,"ἐπί ‘upon, over’",noun root/stem ορκ(ο)- (ὅρκος) ‘the object by which one swears; oath’ ,,,
599,ἐπίουρος,"ἐπίουρος, -ου",N [P+N],"‘guardian, watcher”","ἐπί ‘upon’ + οὗρος, -ου ‘watcher, guardian’","Il. XIII, 450; Od. XIII, 405; XV, 39","nom. m. sg., acc. sg.",endocentric,determinative,,,,,(right-headed),karmadhāraya,karmadhāraya,determinative,N,[P+N],ἐπί ‘upon’,,,,"οὗρος, -ου ‘watcher, guardian’"
600,ἐπιποιμήν,"ἐπιποιμήν, -ένος, (ὁ, ἡ)",N [P+N],‘herdsman’,"ἐπί ‘upon, on’+ ποιμήν,-ένος‘herdsman’","Od. XII, 131",nom. f. pl.,endocentric,determinative,,,,,(right-headed),karmadhāraya,karmadhāraya,determinative,N,[P+N],"ἐπί ‘upon, on’",,,,"ποιμήν,-ένος‘herdsman’"
601,ἐπίρροθος,"ἐπίρροθος, -ον",A [P+N+Suf],‘coming to the rescue’,"ἐπί ‘on’, ‘to’ + noun root/stem ῥοθ(ο)- (ῥόθος, -ου) ‘rushing noise’, ‘roar of waves’ + adj. suf. -ος, -ον","Il. IV, 390; XXIII, 770",nom. f. (target gender) sg.,exocentric,determinative,classification unclear due to uncertain etymology. Synonymous ἐπιτάρροθος is obscure in its formation.,,,,,karmadhāraya,karmadhāraya,determinative,A,[P+N+Suf],"ἐπί ‘on’, ‘to’","noun root/stem ῥοθ(ο)- (ῥόθος, -ου) ‘rushing noise’, ‘roar of waves’ ",,,"adj. suf. -ος, -ον"
602,ἐπίσκοπος,"ἐπίσκοπος, -ου",N [P+N],"‘one who watches over, overseer, guardian’",ἐπί ‘upon’ +σκοπός (σκέπτομαι) ‘one that watches’,"Il. X, 38, 342; XXII, 255; XXIV, 729.","nom. m. sg., nom. m pl., acc. m. sg.",endocentric,determinative,accent shift. Alternative analysis as V-governing tatpuruṣa [P+V+Suf] ἐπι+σκοπ+ος (possibly simple σκοπός as backformation from compounds with 2nd member -σκοπος?),,,,(right-headed),karmadhāraya,karmadhāraya,determinative,N,[P+N],ἐπί ‘upon’,,,,σκοπός (σκέπτομαι) ‘one that watches’
603,ἐπίσσωτρον,"ἐπίσσωτρον, -ου",N [P+N],"‘metal hoop upon the felloe’, ‘tire (of a wheel)’",ἐπί ‘on’ + σῶτρον ‘wooden felloe of the wheel’,"Il. V, 725; XI, 537; XX, 394, 502; XXIII, 505, 519","gen. n. pl., dat. pl., acc. pl.",exocentric,subordinate (P-argument),,,,,,tatpuruṣa (P-governing),tatpuruṣa,subordinate,N,[P+N],ἐπί ‘on’,,,,σῶτρον ‘wooden felloe of the wheel’
604,ἐπισφύρια,"ἐπισφύρια, -ων",N [P+N+Suf],‘leg-guards’,"ἐπί ‘on, upon’ + noun root σφυρ– (",,dat. n. pl.,exocentric,subordinate (P-argument),the noun derives from the adjectiveἐπισφύριος,,,,,tatpuruṣa (P-governing),tatpuruṣa,subordinate,N,[P+N+Suf],"ἐπί ‘on, upon’",noun root σφυρ– ( ,,,
605,ἐπισχεσἰη,"ἐπισχεσἰη, -ης, ep. for ἐπισχεσία",N [P+V+Suf],"‘a thing held out, a pretext’","ἐπί ‘upon’ + verbal root σχε- (cf. inf. aor. σχεῖν from ἔχω ) ‘ have, hold’ + noun suf. -σίη, -ης","Od. XXI, 71",acc. f. sg.,exocentric,determinative,,,,,,karmadhāraya,karmadhāraya,determinative,N,[P+V+Suf],ἐπί ‘upon’,"verbal root σχε- (cf. inf. aor. σχεῖν from ἔχω ) ‘ have, hold’ ",,,"noun suf. -σίη, -ης"
606,ἐπιτάρροθος,"ἐπιτάρροθος, -ου (Ep. for ἐπίρροθος)",N [P+N],"‘helper, defender’","ἐπι- (ἐπί) ‘upon’, intensifier in compounding + τάρροθος, -ου ‘helper, defender’","Il. V, 808, 828; XI, 366; XII, 180; XVII, 339; XX, 453 XXI, 289; Od. XXIV, 182","nom. m. sg., nom. pl., nom. du.,",endocentric,determinative,in Hom. always of the gods that help in fight,,,,(right-headed),karmadhāraya,karmadhāraya,determinative,N,[P+N],"ἐπι- (ἐπί) ‘upon’, intensifier in compounding",,,,"τάρροθος, -ου ‘helper, defender’"
607,ἐπίτονος,"ἐπίτονος, –ον",A [P+V+Suf],"“on the stretch, strained, intense”",,"Od. XII, 423",nom. m. sg.,exocentric,,In Homer,,,,,,,,A,[P+V+Suf],nan,,,,
608,ἐπίφρων,"ἐπίφρων, –ον",A [P+N+Suf],‘thoughtful’,"ἐπί ‘upon’ + noun root φρ- (φρήν, φρενός) ‘midriff, heart, mind’ + adj. suf. –ων, –ον","Od. III, 128; XVI, 242; XIX, 326; XXIII, 12","dat. sg., acc. f. sg.",exocentric,determinative,the second member -φρων is not a free word,,,,,karmadhāraya,karmadhāraya,determinative,A,[P+N+Suf],ἐπί ‘upon’,"noun root φρ- (φρήν, φρενός) ‘midriff, heart, mind’ ",,,"adj. suf. –ων, –ον"
609,ἐπιχθόνιος,"ἐπιχθόνιος, -A, -ον",A [P+N+Suf],‘upon the earth’,"ἐπί ‘upon’ + noun root χθον- (χθών, χθονός) ‘earth’ + adj. suf. -ιος, -ιον","Il. I, 266, 272; II, 553; IV, 45; IX, 558; XXIV, 220, 505; Od. I, 167; VIII, 479; XVII, 115; XVIII, 136; XXII, 414; XXIII, 65; XXIV, 197","nom. m. sg., nom. m. pl.,gen. m. pl., dat. m. pl.",exocentric,subordinate (P-argument),"χθόνιος, A, is post-Hom.",,,,,tatpuruṣa (P-governing),tatpuruṣa,subordinate,A,[P+N+Suf],ἐπί ‘upon’,"noun root χθον- (χθών, χθονός) ‘earth’ ",,,"adj. suf. -ιος, -ιον"
610,ἑπταβόειος,"ἑπταβόειος, -ον",A [Num+N+Suf],‘of seven bulls’-hides’,"ἑπτά ‘seven’ + noun root βο- (βοῦς-ός) ‘ox’ + adj. suf. -ειος, -ιον","Il. VII, 220, 222, 245, 266; XI, 545",acc. m. sg.,exocentric,determinative,,,,,,dvigu,dvigu,determinative,A,[Num+N+Suf],ἑπτά ‘seven’,noun root βο- (βοῦς-ός) ‘ox’ ,,,"adj. suf. -ειος, -ιον"
611,ἑπταετής,"ἑπταετής, –ές",A [Num+N+Suf],‘seven years old’,"ἑπτά ‘seven’ + noun root ετ- (ἔτος) ‘year’ + adj. suf.-ης, -ες","Od. III, 305; VII, 259; XIV, 285",n. sg. acc. (adv.),exocentric,determinative,,,,,,dvigu,dvigu,determinative,A,[Num+N+Suf],ἑπτά ‘seven’,noun root ετ- (ἔτος) ‘year’ ,,,"adj. suf.-ης, -ες"
612,ἑπταπόδης,"ἑπταπόδης,–ου,",A [Num+N+Suf],‘seven feet long’,"ἑπτά‘seven’+ noun root πόδ- (πούς, -ποδός) ‘foot’ + adj. suf. -ης, –ου,","Il. XV, 729",acc. m. sg.,exocentric,determinative,,,,,,dvigu,dvigu,determinative,A,[Num+N+Suf],ἑπτά‘seven’,"noun root πόδ- (πούς, -ποδός) ‘foot’ ",,,"adj. suf. -ης, –ου,"
613,Ἑπτάπορος,"Ἑπτάπορος, -ou",N [Num+N],"‘Eptaporo’, ‘with seven tracks or paths’","ἑπτά‘seven’+‘πόρος’ ‘narrow part of the sea, strait’","Il. XII, 20",nom. m. sg.,exocentric,determinative,,,,,,dvigu,dvigu,determinative,N,[Num+N],ἑπτά‘seven’,,,,"‘πόρος’ ‘narrow part of the sea, strait’"
614,ἐπώνυμος,"ἐπώνυμος, -ον",A [P+A+Suf],‘given as a significant name,surnamed’,"ἐπί ‘upon’ +noun root ὠνυμ- (ὄνυμα = ὄνομα, -A) ‘name of a person’ + adj. suf. -ος, -ον","Il. IX, 562; Od. VII, 54; XIX, 409",nom.,exocentric,deteminative – karmadhāraya or subordinate (P-argument) – tatpuruṣa (P-governing),ὠνυμ- is aeolic,cf. ἀνώνυμος,,"n. sg., acc. m. sg.",,,exocentric,A,[P+A+Suf],surnamed’,,,,
615,ἐριβρεμέτης,"ἐριβρεμέτης, -εω",N [Part+V+Suf],‘loud-thundering’,"ἐρι- ‘very, much’ + verbal root βρεμ- (βρέμω) ‘roar’ + noun suf. –έτης, -εω/ου","Il. XIII, 624",gen. m. sg.,endocentric,determinative,,,,,(right-headed),karmadhāraya,karmadhāraya,determinative,N,[Part+V+Suf],"ἐρι- ‘very, much’",verbal root βρεμ- (βρέμω) ‘roar’ ,,,"noun suf. –έτης, -εω/ου"
616,ἐριβῶλαξ,"ἐριβῶλαξ, -A",A [Part+N],‘with large clods’,"ἐρι- ‘very, much’ +βῶλαξ, -A ‘lump, clod of earth’","Il. I, 155; II, 841; III, 74, 257; V, 44; VI, 315; IX, 479; XI, 222; XIII, 793; XVI, 461; XVII, 172, 301, 350; XX, 485; XXIV, 86; Od. XIII, 235","gen. f. (target gender) sg., dat. f. sg., acc. f. sg.",exocentric,attributive,,,,,,bahuvrῑhi,bahuvrῑhi,attributive,A,[Part+N],"ἐρι- ‘very, much’",,,,"βῶλαξ, -A ‘lump, clod of earth’"
617,ἐρίβωλος,"ἐρίβωλος, -ον",A [Part+N+Suf],"‘with large clods, very fertile’","ἐρι-‘ very, much’ + noun root/stem βωλ(ο)- (βῶλος) ‘lump’ + adj. suf. ος, -ον",,,exocentric,attributive,"ἐρι-likeἀρι-, used as a prefix tostrengthen the sense of a word.",,,,,bahuvrῑhi,bahuvrῑhi,attributive,A,[Part+N+Suf],"ἐρι-‘ very, much’",noun root/stem βωλ(ο)- (βῶλος) ‘lump’ ,,,"adj. suf. ος, -ον"
618,ἐρί(γ)δουπος,"ἐρί(γ)δουπος, –ον",A [Part+N+Suf],"‘loud-sounding, thundering’","ἐρι-‘very, much’+ noun root/stemδοῦπ(ο)- (δοῦπος) ‘any dead, heavy sound, thud’ + adj. suf.-ος, -ον","Il. V, 672(ἐρίγδ-); VII, 411 (ἐρίγδ-);X, 329 (ἐρίγδ-); XI, 152 (ἐρίγδ-); XII, 235 (ἐρίγδ-); XIII, 154 (ἐρίγδ-); XV, 293(ἐρίγδ-);XVI, 88(ἐρίγδ-); XX, 50; XXIV, 323; Od. III, 399, 493; VII, 345; VIII, 465 (ἐρίγδ-); X, 515; XV, 112 (ἐρίγδ-), 146, 180(ἐρίγδ-), 191; XX, 176, 189","nom. m. sg., gen. m. sg., dat. sg., dat. f. (target gender) sg., nom. pl., nom. m. pl., gen. m. pl., gen. f. (target gender) pl.",exocentric,attributive,"alsoἐρίγδουπος, -ον, with-γ- as linking element",,,,,bahuvrῑhi,bahuvrῑhi,attributive,A,[Part+N+Suf],"ἐρι-‘very, much’","noun root/stemδοῦπ(ο)- (δοῦπος) ‘any dead, heavy sound, thud’ ",,,"adj. suf.-ος, -ον"
619,ἐρίηρος,"ἐρίηρος, -ον, pl.ἐρίηρες",A [Part+N+Suf],‘faithful’,"ἐρι- ‘very, much’ (particle) + noun root ηρ–(ἦρα, -A) ‘service, gratification‘ + adj. suf. -ος, -ον","Il. III, 47, 378; IV, 266; VIII, 332; XIII, 421; XVI, 363; XXIII, 6; Od. I, 346; VIII, 62, 471; IX, 100, 193, 172, 193, 555;X, 387, 405, 408, 471; XII, 199, 397;XIV, 249, 259; XVII, 428; XIX, 273","nom. m. pl., acc. m. pl., voc. m. pl., acc. m. sg., nom. m. sg.",exocentric,attributive,"epith. of comrade, companion",,,,,bahuvrῑhi,bahuvrῑhi,attributive,A,[Part+N+Suf],"ἐρι- ‘very, much’ (particle)","noun root ηρ–(ἦρα, -A) ‘service, gratification‘ ",,,"adj. suf. -ος, -ον"
620,ἐριθηλής,"ἐριθηλής, -ές",A [Part+V+Suf],"‘very flourishing, luxuriant,of plants’","ἐρι- ‘very, much’ (particle) + verbal root θηλ- (θάλλω) ‘sprout, grow, thrive’ + adj.suf. -ης, -ες","Il. V, 90; X, 467; XVII, 53",,exocentric,determinative,,,,,,karmadhāraya,karmadhāraya,determinative,A,[Part+V+Suf],"ἐρι- ‘very, much’ (particle)","verbal root θηλ- (θάλλω) ‘sprout, grow, thrive’ ",,,"adj.suf. -ης, -ες"
621,ἐρικυδής,"ἐρικυδής, -ές",A [Part+N+Suf],"‘very famous, glorious’","ἐρι-insepar. particle ‘very, much’ + noun root κυδ- (κῦδος) ‘glory, renown’+ adj. suf.-ής, -ές","Il. III, 65; XI, 225; XIV, 327; XX, 265; XXIV, 802; Od. III, 66; X, 182; XI, 576, 631; XIII, 26; XX, 280","gen. f. (target gender) sg., acc. f. (target gender) sg., nom. n. pl., acc. n. pl.",exocentric,attributive,,,,,,bahuvrῑhi,bahuvrῑhi,attributive,A,[Part+N+Suf],"ἐρι-insepar. particle ‘very, much’","noun root κυδ- (κῦδος) ‘glory, renown’ ",,,"adj. suf.-ής, -ές"
622,ἐρίμυκος,"ἐρίμυκος, -ον",A [Part+V+Suf],‘loud-bellowing’,"ἐρι-‘very, much’ + verbal root μυκ- (μυκάομαι,μέμυκα) ‘bellow’ + adj. suf. -ος,-ον","Il. XX, 497; XXIII, 775; Od. XV, 235","gen. m. pl., acc. m. pl.",exocentric,determinative,,,,,,karmadhāraya,karmadhāraya,determinative,A,[Part+V+Suf],"ἐρι-‘very, much’","verbal root μυκ- (μυκάομαι,μέμυκα) ‘bellow’ ",,,"adj. suf. -ος,-ον"
623,ἐριούνιος,"ἐριούνιος, -ου or ἐριούνης, -ου",N [Part+N?],‘Helper?’,"ἐρι- ‘very, much’ + οὔνιος (= δρομεύς) ‘runner’","Il. XX, 34 (ἐριούνης),","nom. m. sg., acc. sg.",endocentric,determinative,"epith. of Hermes, of uncertain meaning",,,,(right-headed),karmadhāraya,karmadhāraya,determinative,N,[Part+N?],"ἐρι- ‘very, much’",,,,οὔνιος (= δρομεύς) ‘runner’
624,ἐρισθενής,"ἐρισθενής, -ές",A [Part+N+Suf],‘very mighty‘,"ἐρι- ‘very, much’ + noun root σθενες- (σθένος, -εος) ‘might’ + adj. suf. -ής, -ές","Il. XIII, 54; XIX, 355; XXI, 184; Od. VIII, 289",gen. m. sg.,exocentric,attributive,epithet. of Zeus,,,,,bahuvrῑhi,bahuvrῑhi,attributive,A,[Part+N+Suf],"ἐρι- ‘very, much’","noun root σθενες- (σθένος, -εος) ‘might’ ",,,"adj. suf. -ής, -ές"
625,ἐριστάφυλος,"ἐριστάφυλος, –ον",A [Part+N+Suf],‘made of fine grapes’,"ἐρι- ‘very, much’ (particle) + noun root (σταφυλ-) σταφυλή ‘grapes’ + adj. suf. –ος, –ον","Od. IX, 111, 358",acc. m. sg.,exocentric,attributive,,,,,,bahuvrῑhi,bahuvrῑhi,attributive,A,[Part+N+Suf],"ἐρι- ‘very, much’ (particle)",noun root (σταφυλ-) σταφυλή ‘grapes’ ,,,"adj. suf. –ος, –ον"
626,ἐρίτιμος,"ἐρίτιμος, -ον",A [Part+N+Suf],"‘highly-prized, precious’ (of gold)","ἐρι-‘very, much’+ noun root τιμ- (τιμή, -ής) ‘of things,worth, value, price’ + adj. suf. -ος, -ον","Il. II, 447; IX, 126, 268; XV, 361","gen. m. sg., acc. f. (target gender) sg.",exocentric,attributive,,,,,,bahuvrῑhi,bahuvrῑhi,attributive,A,[Part+N+Suf],"ἐρι-‘very, much’","noun root τιμ- (τιμή, -ής) ‘of things,worth, value, price’ ",,,"adj. suf. -ος, -ον"
627,Ἐριφύλη,"Ἐριφύλη, -ης",N [Part+N+Suf],Eriphyle,"ἐρι- ‘very, much’ + noun root φύλ- (φῦλον) ‘race, tribe, or class’ + f. noun suf. –η","Od. XI, 326.",acc. f. sg.,exocentric,determinative,uncertain etymology,,,,,karmadhāraya,karmadhāraya,determinative,N,[Part+N+Suf],"ἐρι- ‘very, much’","noun root φύλ- (φῦλον) ‘race, tribe, or class’ ",,,f. noun suf. –η
628,ἐρυσάρματες,"ἐρυσάρματες, -των",A [V+N+Suf],‘chariot-drawing’,"verbal root ἐρυσ- (ἐρύω) ‘draw’ + noun root άρματ- (ἅρμα, -A)‘war-chariot’ + adj. suf. -ες","Il. XV, 354; XVI, 370","acc. m. pl., nom. m. pl.",exocentric,subordinate (V-argument),"nom. and acc. pl., with no sg. in use",,,,,tatpuruṣa (V-governing),tatpuruṣa,subordinate,A,[V+N+Suf],,verbal root ἐρυσ- (ἐρύω) ‘draw’ ,,"noun root άρματ- (ἅρμα, -A)‘war-chariot’ ",adj. suf. -ες
629,Ἐτεόκρητες,"Ἐτεόκρητες, -ων",N [A+N],‘true Cretans‘,"adj. stem ἐτεό- (ἐτεός) ‘true, genuine’ + Κρῆτες (Κρής), ὁ mostly in pl.’Cretan’","Od. XIX, 176",nom. m. pl.,endocentric,determinative,,,,,(right-headed),karmadhāraya,karmadhāraya,determinative,N,[A+N],,"adj. stem ἐτεό- (ἐτεός) ‘true, genuine’ ",,,"Κρῆτες (Κρής), ὁ mostly in pl.’Cretan’"
630,ἑτεραλκής,"ἑτεραλκής, -ές",A [A+N+Suf],‘giving strength to the other side’,"adj. root ἑτερ- (ἕτερος, -A, -ον) ‘other’ + noun root/stem A(ή)- (ἀλκή, -ῆς) ‘strength’ + adj. suf. -ής, -ές","Il. VII, 26; VIII, 171; XV, 738; XVI, 362; XVII, 627; Od. XXII, 236","acc. f. (target gender) sg., acc. m. sg.",exocentric,attributive,,,,,,bahuvrῑhi,bahuvrῑhi,attributive,A,[A+N+Suf],,"adj. root ἑτερ- (ἕτερος, -A, -ον) ‘other’ ",,"noun root/stem A(ή)- (ἀλκή, -ῆς) ‘strength’ ","adj. suf. -ής, -ές"
631,ἑτερήμερος,"ἑτερήμερος, -ον",A [A+N+Suf],"‘on alternate days, day and day about’","adj. root ἕτερ- (ἕτερος) ‘one or the other of two’ + noun root ήμερ- (ἡμέρα) ‘day’ + adj. suf. -ος, -ον","Od. XI, 303.",nom. m. pl.,exocentric,determinative,,,,,,karmadhāraya,karmadhāraya,determinative,A,[A+N+Suf],,adj. root ἕτερ- (ἕτερος) ‘one or the other of two’ ,,noun root ήμερ- (ἡμέρα) ‘day’ ,"adj. suf. -ος, -ον"
632,Εὐαιμονίδης,"Εὐαιμονίδης,",,‘Euemon’s,,"Il. V, 76; XI, 810",nom. m. sg.,,,s. Εὐαίμων,,,,,,,,,,,,,,
633,Εὐαίμων,"Εὐαίμων, -ονος",N [Adv+N+Suf],‘Euemon’,"εὖ ‘well’ + nounroot A- (A, –A)‘blood’ + nom. suf. -ων",,gen. m. sg.,exocentric,attributive,,,,,,bahuvrῑhi,bahuvrῑhi,attributive,N,[Adv+N+Suf],εὖ ‘well’,"nounroot A- (A, –A)‘blood’ ",,,nom. suf. -ων
634,εὐανθής,"εὐανθής, -ές",A [Adv+N+Suf],"‘blooming, downy’","εὐ ‘well’ + noun root A- (ἄνθος) ‘blossom, flower’ + adj. suf. -ής, -ές
OCCURRENCE",,dat. f. (target gender) sg.,exocentric,determinative,,,,,,karmadhāraya,karmadhāraya,determinative,A,[Adv+N+Suf],εὐ ‘well’,"noun root A- (ἄνθος) ‘blossom, flower’ ",,,"adj. suf. -ής, -ές
OCCURRENCE"
635,εὔβοτος,"εὔβοτος, -ον",A [Adv+N+Suf],‘abounding in pasture’,"εὔ- ‘well’ + verbal root βο- (βόσκω) ‘feed, graze’ + adj. suf. -τος, -τον","Od. XV, 406",nom. f. (target gender) sg.,exocentric,attributive,,,,,,bahuvrῑhi,bahuvrῑhi,attributive,A,[Adv+N+Suf],εὔ- ‘well’,"verbal root βο- (βόσκω) ‘feed, graze’ ",,,"adj. suf. -τος, -τον"
636,ἐΰγναμπτος,"ἐΰγναμπτος, -ον",A [Adv+V+Suf],‘fashioned with art’,ἐϋ (=εὖ)‘well’ + verbal root,"Od. XVIII,294",dat. f.(target gender)pl.,exocentric,determinative,ep. for εὔγναμπτος,,,,,karmadhāraya,karmadhāraya,determinative,A,[Adv+V+Suf],ἐϋ (=εὖ)‘well’,verbal root ,,,
